station_name,climate_id,latitude,longitude,date_month,feature_id,map,temperature_celsius_avg,temperature_celsius_min,temperature_celsius_max,temperature_celsius_yoy_avg
Nova Scotia,CBCBY,45.000075,-62.999327,2023-01,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-01,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-02,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-02,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-03,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-03,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-04,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-04,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-05,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-05,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-06,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-06,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-07,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-07,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-08,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2024-08,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
Nova Scotia,CBCBY,45.000075,-62.999327,2023-09,2abcb7c5af4311d892e2080020a0f4c9,MCR77,,,,
